,year,month,day,price,built_yr,dong_name,apt_name,size,gu_code,size_pyung,price_pyung
157,2021,6,15,42000,2003,서초동,래미안서초유니빌,45.255,11650,13.59009009009009,3090.4872389791185
158,2021,6,16,24000,2013,서초동,한라비발디스튜디오193,19.99,11650,6.003003003003003,3997.99899949975
159,2021,6,16,288000,2005,서초동,"더샾오데움(101,102동)",235.579,11650,70.74444444444444,4070.9910475891315
160,2021,6,16,32000,2002,서초동,서초동삼성쉐르빌2,35.22,11650,10.576576576576576,3025.553662691653
161,2021,6,16,31000,2003,서초동,서초대우아이빌,35.307,11650,10.602702702702704,2923.782819270966
162,2021,6,17,47000,2003,서초동,대림서초리시온,49.92,11650,14.99099099099099,3135.216346153846
163,2021,6,17,214000,2003,서초동,서초래미안,84.97,11650,25.516516516516514,8386.724726374016
164,2021,6,17,179000,2001,서초동,서초금호어울림,124.35,11650,37.34234234234234,4793.486127864898
165,2021,6,18,32000,2014,서초동,강남아르젠,18.53,11650,5.564564564564565,5750.674581759309
166,2021,6,18,168500,2017,서초동,"마제스타시티(힐스테이트서리풀101,102동)",59.95,11650,18.003003003003002,9359.54962468724
167,2021,6,19,89000,2020,서초동,서초블리스아파트,52.69,11650,15.822822822822822,5624.786486999431
168,2021,6,19,250000,2001,서초동,아이파크빌,226.19,11650,67.92492492492492,3680.5340642822407
169,2021,6,19,136500,1997,서초동,서초한일,59.96,11650,18.006006006006007,7580.803869246163
170,2021,6,19,19000,2013,서초동,서초중흥S-클래스(도시형생활주택),20.68,11650,6.21021021021021,3059.477756286267
171,2021,6,19,40000,2019,서초동,DK밸리뷰시티,23.88,11650,7.171171171171171,5577.889447236181
172,2021,6,19,250000,2001,서초동,아이파크빌,226.19,11650,67.92492492492492,3680.5340642822407
173,2021,6,19,225000,1979,서초동,진흥아파트,101.32,11650,30.426426426426424,7394.887485195421
174,2021,6,19,150000,1997,서초동,서초한일,84.98,11650,25.51951951951952,5877.853612614733
175,2021,6,20,180000,2002,서초동,동원베네스트아파트,120.81,11650,36.27927927927928,4961.509808790663
176,2021,6,21,238500,2001,서초동,서초삼성래미안,150.25,11650,45.12012012012012,5285.890183028287
177,2021,6,21,244000,1988,서초동,삼풍아파트,79.47,11650,23.864864864864863,10224.235560588902
178,2021,6,22,295000,2020,서초동,래미안 리더스원,84.94,11650,25.507507507507505,11565.222510007065
179,2021,6,22,30500,2004,서초동,풍림아이원플러스,28.666,11650,8.608408408408408,3543.047512732854
180,2021,6,22,295000,2020,서초동,래미안 리더스원,84.94,11650,25.507507507507505,11565.222510007065
181,2021,6,22,196000,1993,서초동,유원서초,84.87,11650,25.486486486486488,7690.349946977731
182,2021,6,23,233000,2004,서초동,아크로비스타,137.98,11650,41.43543543543543,5623.20626177707
183,2021,6,25,320000,1988,서초동,삼풍아파트,130.23,11650,39.108108108108105,8182.446440912233
184,2021,6,26,172000,2017,서초동,"마제스타시티(힐스테이트서리풀101,102동)",59.95,11650,18.003003003003002,9553.96163469558
