,monoth,deposit,m_rent,built_yr,dong_name,apt_name,size,gu_code,deposit1,deposit_new,size_p,deposit_p
92,202502,12000,33,2021,휘경동,휘경제이스카이시티(청년임대),17.62,11230,8081.632653061224,20081.632653061224,5.33939393939394,3761.0322221964834
93,202502,50000,0,2003,이문동,대림e-편한세상,79.35,11230,0.0,50000.0,24.045454545454547,2079.3950850661627
94,202502,10000,190,2019,답십리동,답십리파크자이,59.91,11230,46530.61224489796,56530.61224489796,18.154545454545456,3113.8544551521154
95,202502,59000,0,2002,답십리동,답십리대우,114.94,11230,0.0,59000.0,34.83030303030303,1693.9272663998609
96,202502,24000,60,2004,이문동,래미안이문2차,59.79,11230,14693.877551020407,38693.87755102041,18.118181818181817,2135.637998300173
97,202502,69000,0,2019,장안동,동대문더퍼스트데시앙,84.9445,11230,0.0,69000.0,25.740757575757577,2680.5737864134817
98,202502,40000,0,2001,휘경동,주공2,59.97,11230,0.0,40000.0,18.172727272727272,2201.1005502751377
99,202502,63000,0,2003,이문동,대림e-편한세상,114.937,11230,0.0,63000.0,34.82939393939394,1808.817004097897
100,202502,6551,0,2012,전농동,래미안아름숲(임대),34.2,11230,0.0,6551.0,10.363636363636365,632.1140350877192
101,202502,5500,140,2023,장안동,파히나더그로브,29.1,11230,34285.71428571428,39785.71428571428,8.818181818181818,4511.782032400589
102,202502,1000,95,2018,이문동,민족통일MJ캠퍼스외대2차,21.07,11230,23265.30612244898,24265.30612244898,6.384848484848486,3800.451362319963
103,202502,54000,0,2007,장안동,래미안장안2차,81.05,11230,0.0,54000.0,24.560606060606062,2198.6428130783465
104,202502,300,50,2000,전농동,전농동삼성래미안,84.98,11230,12244.897959183672,12544.897959183672,25.751515151515154,487.15183884803616
105,202502,15000,87,2005,제기동,이수브라운스톤,84.51,11230,21306.12244897959,36306.122448979586,25.609090909090913,1417.7044619764833
106,202502,39000,0,2000,이문동,쌍용,59.99,11230,0.0,39000.0,18.17878787878788,2145.3575595932653
107,202502,37000,0,2000,이문동,쌍용,59.99,11230,0.0,37000.0,18.17878787878788,2035.3392232038673
108,202502,70000,0,2014,답십리동,래미안위브,84.98,11230,0.0,70000.0,25.751515151515154,2718.2866556836902
109,202502,50000,80,2011,용두동,래미안 허브리츠,84.97,11230,19591.836734693876,69591.83673469388,25.74848484848485,2702.75463368824
110,202502,29400,0,2020,이문동,이문스카이뷰,25.99,11230,0.0,29400.0,7.875757575757576,3732.9742208541747
111,202502,5000,99,2017,회기동,한성베스트빌,32.85,11230,24244.897959183672,29244.897959183672,9.954545454545455,2937.8436306029257
112,202502,21800,0,2013,회기동,베라체캠퍼스,24.319,11230,0.0,21800.0,7.369393939393939,2958.180846251902
113,202502,1522,16,2000,답십리동,답십리두산(임대),32.93,11230,3918.3673469387754,5440.367346938776,9.978787878787879,545.1932051289997
114,202502,55500,0,2019,답십리동,답십리파크자이,59.85,11230,0.0,55500.0,18.136363636363637,3060.1503759398497
115,202502,54000,0,2024,신설동,신설동역자이르네,43.851,11230,0.0,54000.0,13.288181818181819,4063.761373742902
116,202502,58000,0,2019,답십리동,래미안미드카운티,59.98,11230,0.0,58000.0,18.175757575757576,3191.0636878959654
117,202502,50000,0,2001,청량리동,홍릉동부,84.91,11230,0.0,50000.0,25.73030303030303,1943.2340124838063
118,202502,42000,0,2000,답십리동,답십리청솔우성,59.74,11230,0.0,42000.0,18.103030303030305,2320.053565450284
119,202502,50000,0,2005,휘경동,휘경동일하이빌,84.997,11230,0.0,50000.0,25.756666666666668,1941.2449851171218
120,202502,55650,0,2014,답십리동,래미안위브,84.99,11230,0.0,55650.0,25.754545454545454,2160.7836216025416
121,202502,50000,40,2007,장안동,장안힐스테이트,84.789,11230,9795.918367346938,59795.91836734694,25.693636363636365,2327.2656902693143
122,202502,34500,0,2000,전농동,전농동삼성래미안,59.93,11230,0.0,34500.0,18.16060606060606,1899.7163357250126
123,202502,50000,0,2024,신설동,신설동역자이르네,42.836,11230,0.0,50000.0,12.98060606060606,3851.9002708002613
124,202502,10000,210,2010,답십리동,청계한신휴플러스,73.96,11230,51428.57142857143,61428.57142857143,22.41212121212121,2740.8637873754155
125,202502,500,30,2000,전농동,전농동삼성래미안,114.89,11230,7346.938775510203,7846.938775510203,34.81515151515152,225.38861484188064
126,202502,75000,0,2021,용두동,이편한세상청계센트럴포레,74.98,11230,0.0,75000.0,22.721212121212123,3300.880234729261
127,202502,10000,140,1992,전농동,전농우성,126.63,11230,34285.71428571428,44285.71428571428,38.372727272727275,1154.0934781872947
128,202502,45000,0,2007,이문동,이문2차푸르지오,84.79,11230,0.0,45000.0,25.6939393939394,1751.3857766246017
129,202502,47200,0,2001,휘경동,주공1,84.84,11230,0.0,47200.0,25.70909090909091,1835.9264497878357
130,202502,15000,0,2015,답십리동,청계푸르지오시티,18.92,11230,0.0,15000.0,5.733333333333334,2616.2790697674413
131,202502,58000,0,2019,답십리동,래미안미드카운티,59.98,11230,0.0,58000.0,18.175757575757576,3191.0636878959654
132,202502,56000,0,2018,답십리동,힐스테이트청계,59.94,11230,0.0,56000.0,18.163636363636364,3083.0830830830832
133,202502,20000,75,1978,청량리동,미주,124.73,11230,18367.34693877551,38367.34693877551,37.7969696969697,1015.0905547820026
134,202502,0,550,2010,답십리동,청계한신휴플러스,59.74,11230,134693.8775510204,134693.8775510204,18.103030303030305,7440.405020394498
135,202502,10000,190,2003,장안동,래미안장안,84.774,11230,46530.61224489796,56530.61224489796,25.68909090909091,2200.568811288405
136,202502,36000,0,2011,장안동,금성아파트,68.14,11230,0.0,36000.0,20.64848484848485,1743.4693278544173
137,202502,53000,0,2019,장안동,동대문더퍼스트데시앙,59.8074,11230,0.0,53000.0,18.123454545454546,2924.3872831790045
138,202502,54000,0,2007,장안동,래미안장안2차,64.85,11230,0.0,54000.0,19.651515151515152,2747.8797224363916
139,202502,1000,105,2013,회기동,베라체캠퍼스,24.319,11230,25714.285714285714,26714.285714285714,7.369393939393939,3625.0315743715964
140,202502,58000,0,2001,이문동,이문삼성래미안아파트,114.988,11230,0.0,58000.0,34.844848484848484,1664.5215152885519
141,202502,34000,0,2016,용두동,동대문푸르지오시티(도시형생활주택),30.11,11230,0.0,34000.0,9.124242424242425,3726.336765194287
